RSA,RSA_Name,Community_Discharge,CMS_region,CMS_office
A0001,"MA, Springfield [Urban core]",0.503873085,I,Boston
A0002,"MA, Amherst Town-Northampton [Urban core]",0.524827077,I,Boston
A0003,"MA, Worcester County [Urban core] [Central] One",0.52863927,I,Boston
A0004,"MA, Pittsfield [Urban core]",0.5591533,I,Boston
A0005,"MA, Middlesex County [Urban core] [Central] One",0.510218562,I,Boston
A0006,"MA, Springfield-Amherst Town-Northampton [Suburban]",0.516039274,I,Boston
A0007,"MA, Worcester County [Urban core] [Central] Two",0.504921146,I,Boston
A0008,"MA, Middlesex County [Urban core] [Central] Two",0.485716923,I,Boston
A0009,"MA, Essex County [Urban core]",0.548479707,I,Boston
A0010,"MA, Norfolk County [Urban core]",0.519948869,I,Boston
A0011,"MA, Plymouth County [Urban core]",0.483119309,I,Boston
A0012,"MA, Barnstable Town [Urban core]",0.457609405,I,Boston
A0013,"MA, Bristol County [Urban core]",0.510994317,I,Boston
A0014,"RI, Washington County [Urban core]",0.503725736,I,Boston
A0015,"RI, Providence County [Urban core]",0.541648719,I,Boston
A0016,"NH, Manchester-Nashua [Urban core]",0.583348108,I,Boston
A0017,"NH, Rockingham County [Urban core]",0.548955276,I,Boston
A0018,"NH, Keene [Suburban]",0.566558005,I,Boston
A0019,"NH, Concord [Suburban]",0.535904636,I,Boston
A0020,"NH, Sullivan County [Small town/rural]",0.55213694,I,Boston
A0021,"MA-RI-NH, Boston-Worcester-Providence [Small town/rural] [Central]",0.601139666,I,Boston
A0022,"NH, Rockingham County-Strafford County [Suburban] [Central]",0.54796469,I,Boston
A0023,"CT, South Central Connecticut Planning Region [Urban core]",0.471050377,I,Boston
A0024,"NH, Grafton County [Small town/rural] [Central] One",0.578839904,I,Boston
A0025,"NH-VT, Lebanon-Claremont [Suburban]",0.561198999,I,Boston
A0026,"NH, Grafton County [Small town/rural] [Central] Two",0.558691101,I,Boston
A0027,"NH-VT, Keene-Brattleboro [Small town/rural]",0.501285081,I,Boston
A0028,"NH, Grafton County [Large rural]",0.594890592,I,Boston
A0029,"NH, Strafford County [Urban core]",0.489105539,I,Boston
A0030,"ME, York County [Urban core]",0.482397272,I,Boston
A0031,"ME, Cumberland County [Urban core]",0.482779611,I,Boston
A0032,"ME, Portland-South Portland [Suburban]",0.494732658,I,Boston
A0033,"ME, Lewiston-Auburn [Urban core]",0.478261039,I,Boston
A0034,"ME, Augusta-Waterville [Suburban]",0.517324558,I,Boston
A0035,"ME, Lincoln County [Small town/rural]",0.521325642,I,Boston
A0036,"ME, Bangor [Urban core]",0.492609757,I,Boston
A0037,"ME, Penobscot County [Small town/rural]",0.529160084,I,Boston
A0038,NA One,0.549083775,I,Boston
A0039,"ME, Bangor [Large rural]",0.486141582,I,Boston
A0040,"ME, Augusta-Waterville [Small town/rural]",0.4970352,I,Boston
A0041,"ME, Knox County [Small town/rural]",0.458434279,I,Boston
A0042,"ME, Bangor [Small town/rural] [Central]",0.536313649,I,Boston
A0043,"ME, Washington County [Small town/rural]",0.549322714,I,Boston
A0044,"VT, Barre [Large rural]",0.512921888,I,Boston
A0045,"VT, Bennington [Suburban]",0.489216322,I,Boston
A0046,"VT, Rutland [Suburban]",0.491877536,I,Boston
A0048,"VT, Burlington-South Burlington [Urban core]",0.503178616,I,Boston
A0049,"VT, Rutland [Urban core]",0.538106392,I,Boston
A0050,"VT, Burlington-South Burlington [Large rural]",0.543246865,I,Boston
A0051,"VT, Burlington-South Burlington-Barre [Small town/rural]",0.530955913,I,Boston
A0052,"VT, Burlington-South Burlington-Barre [Suburban]",0.502971747,I,Boston
A0053,"VT, Orleans County [Small town/rural]",0.554543447,I,Boston
A0054,"CT, Capitol Planning Region [Urban core]",0.465071666,I,Boston
A0055,"CT, New Haven-Hartford-Waterbury [Suburban]",0.490871337,I,Boston
A0056,"CT, Putnam [Urban core]",0.499040975,I,Boston
A0057,"CT, Norwich-New London-Willimantic [Urban core]",0.468282175,I,Boston
A0058,"CT, Lower Connecticut River Valley Planning Region [Urban core]",0.464671708,I,Boston
A0059,"CT, Western Connecticut Planning Region [Urban core]",0.459958543,I,Boston
A0060,"MA, Vineyard Haven [Suburban]",0.504351725,I,Boston
A0061,"NH, Sullivan County [Large rural]",0.50184607,I,Boston
A0062,"NH, Belknap County [Suburban] [Central]",0.52357477,I,Boston
A0063,"CT, Waterbury-Shelton [Urban core]",0.488615953,I,Boston
B0001,"NJ, Middlesex County [Urban core]",0.532913489,II,New York
B0002,"NJ, Bergen County [Urban core]",0.517146212,II,New York
B0003,"NJ, Morris County [Urban core]",0.534037787,II,New York
B0004,"NJ, Monmouth County [Urban core]",0.518220629,II,New York
B0005,"NJ, Hunterdon County [Urban core]",0.573343723,II,New York
B0006,"NJ, Camden County [Urban core]",0.549088029,II,New York
B0007,"NJ, Ocean County [Urban core]",0.510574221,II,New York
B0008,"NJ, Burlington County [Urban core]",0.554860488,II,New York
B0009,"NJ, Atlantic City-Hammonton [Urban core]",0.550810215,II,New York
B0010,"NJ, Trenton-Princeton [Urban core]",0.553243458,II,New York
B0011,"NY, Kings County [Urban core]",0.553507399,II,New York
B0012,"NY, Westchester County [Urban core]",0.541896429,II,New York
B0013,"NY, Rockland County [Urban core]",0.525249678,II,New York
B0014,"NY, Orange County [Urban core]",0.589959378,II,New York
B0015,"NY, Kingston [Urban core]",0.566272538,II,New York
B0016,"NY, Nassau County [Urban core]",0.535073817,II,New York
B0017,"NY, Suffolk County [Urban core] [Central] One",0.54701889,II,New York
B0018,"NY, Suffolk County [Urban core] [Central] Two",0.514323974,II,New York
B0019,"NY, Albany County [Urban core]",0.563201461,II,New York
B0020,"NY, Albany-Schenectady [Suburban]",0.572862359,II,New York
B0021,"NY, Schenectady County [Urban core]",0.584252698,II,New York
B0022,"NY, Schoharie County [Urban core]",0.491730034,II,New York
B0023,"NY, Oneonta [Small town/rural]",0.569377796,II,New York
B0024,"NY, Dutchess County [Urban core]",0.56822144,II,New York
B0025,"NY-NJ-CT-PA, New York-Newark [Large rural]",0.577401171,II,New York
B0026,"NY, Warren County [Urban core]",0.553771274,II,New York
B0027,"NY, Glens Falls [Small town/rural]",0.487985129,II,New York
B0028,"NY, Clinton County [Suburban]",0.521226015,II,New York
B0029,"NY, Franklin County [Suburban]",0.569327713,II,New York
B0030,"NY, Ontario County [Urban core]",0.564987639,II,New York
B0031,"NY, Syracuse [Urban core]",0.570135674,II,New York
B0032,"NY, Syracuse-Auburn [Suburban]",0.571805375,II,New York
B0033,"NY, Utica-Rome [Urban core]",0.577496275,II,New York
B0034,"NY, Ithaca-Cortland [Urban core]",0.612613966,II,New York
B0035,"NY, Watertown-Fort Drum [Urban core]",0.624861315,II,New York
B0036,"NY, St. Lawrence County [Large rural]",0.569308761,II,New York
B0037,"NY, Binghamton [Urban core]",0.593332514,II,New York
B0038,"NY, Buffalo-Cheektowaga-Olean [Urban core]",0.552687318,II,New York
B0039,"NY, Genesee County [Urban core]",0.597084402,II,New York
B0040,"NY, Elmira-Corning [Large rural]",0.564266667,II,New York
B0041,"NY, Olean [Suburban]",0.570050495,II,New York
B0042,"NY, Monroe County [Urban core]",0.575388266,II,New York
B0043,"NY, Elmira [Urban core]",0.621031136,II,New York
B0044,"NJ, Warren County [Urban core]",0.536393286,II,New York
B0045,"NY, Washington County [Urban core]",0.515452467,II,New York
B0046,"NY, Essex County [Large rural]",0.527349902,II,New York
B0047,"NY, Suffolk County [Urban core] [Central] Three",0.557740492,II,New York
B0048,"NY, Jamestown-Dunkirk [Suburban]",0.579091763,II,New York
C0001,"PA, Beaver County [Urban core]",0.59844807,III,Philadelphia
C0002,"PA, Washington County [Urban core]",0.547976188,III,Philadelphia
C0003,"PA, Allegheny County [Urban core] [Central] One",0.548074875,III,Philadelphia
C0004,"PA, Allegheny County [Urban core] [Central] Two",0.559906457,III,Philadelphia
C0005,"PA, Allegheny County [Urban core] [Central] Three",0.57469322,III,Philadelphia
C0006,"PA, Westmoreland County [Urban core] [Central] One",0.544775407,III,Philadelphia
C0007,"PA, Pittsburgh [Large rural]",0.579125167,III,Philadelphia
C0008,"PA, Fayette County [Urban core]",0.525636531,III,Philadelphia
C0009,"PA, Johnstown-Somerset [Suburban]",0.58058553,III,Philadelphia
C0010,"PA, Johnstown [Urban core]",0.595472471,III,Philadelphia
C0011,"PA, Somerset [Large rural]",0.581018583,III,Philadelphia
C0012,"MD-WV, Cumberland [Urban core]",0.56928134,III,Philadelphia
C0013,"PA, Butler County [Suburban]",0.521934392,III,Philadelphia
C0014,"PA, Indiana [Suburban]",0.580457977,III,Philadelphia
C0015,"PA, Erie-Meadville [Large rural]",0.531833609,III,Philadelphia
C0016,"PA, Blair County [Urban core] [Central] One",0.58557238,III,Philadelphia
C0017,"PA, Clearfield County [Suburban] [Central] One",0.58234157,III,Philadelphia
C0018,"PA, Indiana [Large rural]",0.555516156,III,Philadelphia
C0019,"PA, Clearfield County [Suburban] [Central] Two",0.594674118,III,Philadelphia
C0020,"PA, Elk County [Large rural]",0.612347247,III,Philadelphia
C0021,"PA, Bradford [Large rural]",0.600831302,III,Philadelphia
C0022,"PA, Mercer County [Suburban] [Central] One",0.556651343,III,Philadelphia
C0023,"PA-OH-WV, Pittsburgh-Weirton-Steubenville [Small town/rural]",0.577287117,III,Philadelphia
C0024,"PA, Lawrence County [Suburban]",0.600751539,III,Philadelphia
C0025,"PA, Hermitage [Urban core]",0.532330244,III,Philadelphia
C0026,"PA, Oil City [Suburban]",0.533554339,III,Philadelphia
C0027,"PA, Warren [Suburban]",0.584111272,III,Philadelphia
C0028,"PA, Erie-Meadville [Suburban]",0.61693271,III,Philadelphia
C0029,"PA, Erie-Meadville [Urban core]",0.549056005,III,Philadelphia
C0030,"PA, Blair County [Urban core] [Central] Two",0.544966515,III,Philadelphia
C0031,"PA, Bradford [Suburban]",0.564129852,III,Philadelphia
C0032,"PA, Potter County [Small town/rural]",0.54608324,III,Philadelphia
C0033,"PA, State College-DuBois [Urban core]",0.598930095,III,Philadelphia
C0034,"PA, Lock Haven [Suburban]",0.60122147,III,Philadelphia
C0035,"PA, Williamsport-Lock Haven [Small town/rural]",0.531889164,III,Philadelphia
C0036,"PA, Sayre [Suburban]",0.523308648,III,Philadelphia
C0037,"PA, Lebanon [Urban core]",0.582221424,III,Philadelphia
C0038,"PA, Cumberland County [Urban core]",0.569704536,III,Philadelphia
C0039,"PA, Northumberland County [Suburban] [Central] One",0.596548121,III,Philadelphia
C0040,"PA, Dauphin County [Urban core]",0.603104227,III,Philadelphia
C0041,"PA, Harrisburg-York-Lebanon [Urban core] [Central]",0.590474222,III,Philadelphia
C0042,"PA, Chambersburg [Urban core]",0.634205207,III,Philadelphia
C0043,"DC-MD-VA-WV-PA, Washington-Baltimore-Arlington [Small town/rural]",0.578319312,III,Philadelphia
C0044,"PA, Gettysburg [Urban core]",0.583051104,III,Philadelphia
C0045,"PA, York-Hanover [Urban core]",0.591101251,III,Philadelphia
C0046,"PA, Lancaster County [Urban core] [Central]",0.565577009,III,Philadelphia
C0047,"PA, Chester County [Urban core] [Central] One",0.545725839,III,Philadelphia
C0048,"PA, Chester County [Urban core] [Central] Two",0.556686445,III,Philadelphia
C0049,"PA, Williamsport-Lock Haven [Urban core]",0.60598556,III,Philadelphia
C0050,"PA, Bloomsburg-Berwick-Sunbury [Urban core]",0.601365346,III,Philadelphia
C0051,"PA, Northumberland County [Suburban] [Central] Two",0.548056136,III,Philadelphia
C0052,"PA, Harrisburg-York-Lebanon [Suburban]",0.595464179,III,Philadelphia
C0053,"PA, Carbon County [Urban core]",0.590176228,III,Philadelphia
C0054,"PA, Luzerne County [Urban core] [Central] One",0.603697693,III,Philadelphia
C0055,"PA, Lehigh County [Urban core]",0.511588858,III,Philadelphia
C0056,"PA, Northampton County [Urban core]",0.552690428,III,Philadelphia
C0057,"PA, Bucks County [Urban core] [Central] One",0.505037831,III,Philadelphia
C0058,"PA, Montgomery County [Urban core] [Central] One",0.545460312,III,Philadelphia
C0059,"PA, East Stroudsburg [Urban core]",0.567052874,III,Philadelphia
C0060,"PA, Philadelphia County [Urban core] [Central] One",0.533459285,III,Philadelphia
