RSA	RSA_Name	RSR
A0001	MA, Springfield [Urban core]	0.503873085
A0002	MA, Amherst Town-Northampton [Urban core]	0.524827077
A0003	MA, Worcester County [Urban core] [Central] 1	0.52863927
A0004	MA, Pittsfield [Urban core]	0.5591533
A0005	MA, Middlesex County [Urban core] [Central] 1	0.510218562
A0006	MA, Springfield-Amherst Town-Northampton [Suburban]	0.516039274
A0007	MA, Worcester County [Urban core] [Central] 2	0.504921146
A0008	MA, Middlesex County [Urban core] [Central] 2	0.485716923
A0009	MA, Essex County [Urban core]	0.548479707
A0010	MA, Norfolk County [Urban core]	0.519948869
A0011	MA, Plymouth County [Urban core]	0.483119309
A0012	MA, Barnstable Town [Urban core]	0.457609405
A0013	MA, Bristol County [Urban core]	0.510994317
A0014	RI, Washington County [Urban core]	0.503725736
A0015	RI, Providence County [Urban core]	0.541648719
A0016	NH, Manchester-Nashua [Urban core]	0.583348108
A0017	NH, Rockingham County [Urban core]	0.548955276
A0018	NH, Keene [Suburban]	0.566558005
A0019	NH, Concord [Suburban]	0.535904636
A0020	NH, Sullivan County [Small town/rural]	0.55213694
A0021	MA-RI-NH, Boston-Worcester-Providence [Small town/rural] [Central]	0.601139666
A0022	NH, Rockingham County-Strafford County [Suburban] [Central]	0.54796469
A0023	CT, South Central Connecticut Planning Region [Urban core]	0.471050377
A0024	NH, Grafton County [Small town/rural] [Central] 1	0.578839904
A0025	NH-VT, Lebanon-Claremont [Suburban]	0.561198999
A0026	NH, Grafton County [Small town/rural] [Central] 2	0.558691101
A0027	NH-VT, Keene-Brattleboro [Small town/rural]	0.501285081
A0028	NH, Grafton County [Large rural]	0.594890592
A0029	NH, Strafford County [Urban core]	0.489105539
A0030	ME, York County [Urban core]	0.482397272
A0031	ME, Cumberland County [Urban core]	0.482779611
A0032	ME, Portland-South Portland [Suburban]	0.494732658
A0033	ME, Lewiston-Auburn [Urban core]	0.478261039
A0034	ME, Augusta-Waterville [Suburban]	0.517324558
A0035	ME, Lincoln County [Small town/rural]	0.521325642
A0036	ME, Bangor [Urban core]	0.492609757
A0037	ME, Penobscot County [Small town/rural]	0.529160084
A0038	NA 1	0.549083775
A0039	ME, Bangor [Large rural]	0.486141582
A0040	ME, Augusta-Waterville [Small town/rural]	0.4970352
A0041	ME, Knox County [Small town/rural]	0.458434279
A0042	ME, Bangor [Small town/rural] [Central]	0.536313649
A0043	ME, Washington County [Small town/rural]	0.549322714
A0044	VT, Barre [Large rural]	0.512921888
A0045	VT, Bennington [Suburban]	0.489216322
A0046	VT, Rutland [Suburban]	0.491877536
A0048	VT, Burlington-South Burlington [Urban core]	0.503178616
A0049	VT, Rutland [Urban core]	0.538106392
A0050	VT, Burlington-South Burlington [Large rural]	0.543246865
A0051	VT, Burlington-South Burlington-Barre [Small town/rural]	0.530955913
A0052	VT, Burlington-South Burlington-Barre [Suburban]	0.502971747
A0053	VT, Orleans County [Small town/rural]	0.554543447
A0054	CT, Capitol Planning Region [Urban core]	0.465071666
A0055	CT, New Haven-Hartford-Waterbury [Suburban]	0.490871337
A0056	CT, Putnam [Urban core]	0.499040975
A0057	CT, Norwich-New London-Willimantic [Urban core]	0.468282175
A0058	CT, Lower Connecticut River Valley Planning Region [Urban core]	0.464671708
A0059	CT, Western Connecticut Planning Region [Urban core]	0.459958543
A0060	MA, Vineyard Haven [Suburban]	0.504351725
A0061	NH, Sullivan County [Large rural]	0.50184607
A0062	NH, Belknap County [Suburban] [Central]	0.52357477
A0063	CT, Waterbury-Shelton [Urban core]	0.488615953
B0001	NJ, Middlesex County [Urban core]	0.532913489
B0002	NJ, Bergen County [Urban core]	0.517146212
B0003	NJ, Morris County [Urban core]	0.534037787
B0004	NJ, Monmouth County [Urban core]	0.518220629
B0005	NJ, Hunterdon County [Urban core]	0.573343723
B0006	NJ, Camden County [Urban core]	0.549088029
B0007	NJ, Ocean County [Urban core]	0.510574221
B0008	NJ, Burlington County [Urban core]	0.554860488
B0009	NJ, Atlantic City-Hammonton [Urban core]	0.550810215
B0010	NJ, Trenton-Princeton [Urban core]	0.553243458
B0011	NY, Kings County [Urban core]	0.553507399
B0012	NY, Westchester County [Urban core]	0.541896429
