RSA,ZCTA,RSA_Name,CMS_region,CMS_office
A0001,01001,"MA, Springfield [Urban core]",I,Boston
A0001,01007,"MA, Springfield [Urban core]",I,Boston
A0001,01008,"MA, Springfield [Urban core]",I,Boston
A0001,01009,"MA, Springfield [Urban core]",I,Boston
A0001,01010,"MA, Springfield [Urban core]",I,Boston
A0001,01011,"MA, Springfield [Urban core]",I,Boston
A0001,01013,"MA, Springfield [Urban core]",I,Boston
A0001,01020,"MA, Springfield [Urban core]",I,Boston
A0001,01022,"MA, Springfield [Urban core]",I,Boston
A0001,01028,"MA, Springfield [Urban core]",I,Boston
A0001,01030,"MA, Springfield [Urban core]",I,Boston
A0001,01031,"MA, Springfield [Urban core]",I,Boston
A0001,01033,"MA, Springfield [Urban core]",I,Boston
A0001,01034,"MA, Springfield [Urban core]",I,Boston
A0001,01036,"MA, Springfield [Urban core]",I,Boston
A0001,01037,"MA, Springfield [Urban core]",I,Boston
A0001,01040,"MA, Springfield [Urban core]",I,Boston
A0001,01056,"MA, Springfield [Urban core]",I,Boston
A0001,01057,"MA, Springfield [Urban core]",I,Boston
A0001,01069,"MA, Springfield [Urban core]",I,Boston
A0001,01071,"MA, Springfield [Urban core]",I,Boston
A0001,01075,"MA, Springfield [Urban core]",I,Boston
A0001,01077,"MA, Springfield [Urban core]",I,Boston
A0001,01079,"MA, Springfield [Urban core]",I,Boston
A0001,01080,"MA, Springfield [Urban core]",I,Boston
A0001,01081,"MA, Springfield [Urban core]",I,Boston
A0001,01082,"MA, Springfield [Urban core]",I,Boston
A0001,01085,"MA, Springfield [Urban core]",I,Boston
A0001,01089,"MA, Springfield [Urban core]",I,Boston
A0001,01095,"MA, Springfield [Urban core]",I,Boston
A0001,01097,"MA, Springfield [Urban core]",I,Boston
A0001,01103,"MA, Springfield [Urban core]",I,Boston
A0001,01104,"MA, Springfield [Urban core]",I,Boston
A0001,01105,"MA, Springfield [Urban core]",I,Boston
A0001,01106,"MA, Springfield [Urban core]",I,Boston
A0001,01107,"MA, Springfield [Urban core]",I,Boston
A0001,01108,"MA, Springfield [Urban core]",I,Boston
A0001,01109,"MA, Springfield [Urban core]",I,Boston
A0001,01118,"MA, Springfield [Urban core]",I,Boston
A0001,01119,"MA, Springfield [Urban core]",I,Boston
A0001,01128,"MA, Springfield [Urban core]",I,Boston
A0001,01129,"MA, Springfield [Urban core]",I,Boston
A0001,01151,"MA, Springfield [Urban core]",I,Boston
A0001,01199,"MA, Springfield [Urban core]",I,Boston
A0001,01531,"MA, Springfield [Urban core]",I,Boston
A0002,01002,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01003,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01012,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01026,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01027,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01032,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01035,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01038,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01039,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01050,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01053,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01054,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01060,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01062,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01063,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01066,"MA, Amherst Town-Northampton [Urban core]",I,Boston
A0002,01070,"MA, Amherst Town-Northampton [Urban core]",I,Boston
